epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,228.957,0.80774,0.4915,0.78486,0.98905,0.96583,0.98996,0.79035,0.82267,0.44241,0.80156,0.000945641,0.000945641,0.000945641
43,234.491,0.80956,0.48534,0.7918,0.9776,0.98851,0.99161,0.78213,0.85866,0.44053,0.80448,0.000933851,0.000933851,0.000933851
44,239.985,0.76328,0.48511,0.79213,0.98937,0.98558,0.99214,0.79376,0.86954,0.45032,0.80707,0.000922062,0.000922062,0.000922062
45,245.407,0.76326,0.46001,0.79318,0.98792,0.98885,0.99201,0.81184,0.78789,0.3975,0.79897,0.000910273,0.000910273,0.000910273
46,250.94,0.78046,0.46745,0.7764,0.97716,0.97348,0.99009,0.80992,0.79824,0.41641,0.80158,0.000898484,0.000898484,0.000898484
47,256.439,0.82448,0.47619,0.78786,0.9765,0.97304,0.98609,0.81886,0.78164,0.44357,0.80098,0.000886694,0.000886694,0.000886694
48,261.978,0.74385,0.45459,0.78196,0.98396,0.98233,0.9918,0.81477,0.78473,0.40865,0.80277,0.000874905,0.000874905,0.000874905
49,267.379,0.78371,0.457,0.79047,0.99274,0.97889,0.99052,0.81577,0.79186,0.41456,0.80287,0.000863116,0.000863116,0.000863116
50,272.833,0.73783,0.43023,0.77831,0.98998,0.98485,0.99205,0.81644,0.79718,0.39578,0.80133,0.000851327,0.000851327,0.000851327
51,278.165,0.78527,0.44664,0.7884,0.98771,0.98095,0.99186,0.81398,0.80352,0.40528,0.80013,0.000839537,0.000839537,0.000839537
52,283.592,0.73593,0.45047,0.78905,0.98662,0.98156,0.99166,0.79202,0.82312,0.41497,0.79878,0.000827748,0.000827748,0.000827748
53,289.01,0.73389,0.43901,0.78133,0.98606,0.97762,0.99002,0.81842,0.77315,0.40123,0.79782,0.000815959,0.000815959,0.000815959
54,294.489,0.73007,0.42297,0.7897,0.98688,0.97982,0.99054,0.81256,0.80068,0.42468,0.79831,0.00080417,0.00080417,0.00080417
55,299.885,0.72667,0.43615,0.77112,0.99236,0.98192,0.99211,0.81675,0.8065,0.42343,0.79875,0.00079238,0.00079238,0.00079238
56,305.289,0.74986,0.42834,0.78688,0.98809,0.97442,0.99176,0.83098,0.75797,0.40538,0.79896,0.000780591,0.000780591,0.000780591
57,310.737,0.71534,0.41113,0.78782,0.99482,0.98845,0.99144,0.81206,0.80868,0.40717,0.79951,0.000768802,0.000768802,0.000768802
58,316.144,0.7392,0.4383,0.78818,0.99024,0.98682,0.99198,0.80135,0.83217,0.43476,0.79869,0.000757013,0.000757013,0.000757013
59,321.59,0.72465,0.40605,0.7837,0.99293,0.98942,0.99173,0.82827,0.75714,0.38731,0.79831,0.000745223,0.000745223,0.000745223
60,326.987,0.71185,0.42822,0.77854,0.99228,0.97717,0.99161,0.81628,0.76732,0.38091,0.7997,0.000733434,0.000733434,0.000733434
61,332.354,0.68642,0.40632,0.7882,0.97863,0.9905,0.98979,0.79185,0.85351,0.40494,0.80292,0.000721645,0.000721645,0.000721645
62,337.755,0.75394,0.416,0.78089,0.98793,0.97824,0.99171,0.80101,0.83587,0.39308,0.80265,0.000709856,0.000709856,0.000709856
63,343.153,0.71594,0.39819,0.78536,0.972,0.98607,0.99136,0.81077,0.81551,0.38796,0.80217,0.000698066,0.000698066,0.000698066
64,348.534,0.72573,0.42787,0.77858,0.96653,0.98359,0.99065,0.82092,0.76942,0.39103,0.80053,0.000686277,0.000686277,0.000686277
65,353.923,0.72629,0.42428,0.7805,0.98036,0.97678,0.9912,0.82258,0.77679,0.3923,0.79982,0.000674488,0.000674488,0.000674488
66,359.313,0.68014,0.38749,0.77445,0.97546,0.97884,0.98867,0.81462,0.77872,0.38372,0.79994,0.000662699,0.000662699,0.000662699
67,364.784,0.67728,0.37094,0.79535,0.99214,0.98173,0.9921,0.80227,0.81705,0.38524,0.79982,0.000650909,0.000650909,0.000650909
68,370.222,0.71737,0.3989,0.77817,0.981,0.97717,0.99098,0.82504,0.77477,0.38902,0.7985,0.00063912,0.00063912,0.00063912
69,375.641,0.6966,0.41429,0.77751,0.98561,0.98453,0.99219,0.82679,0.77638,0.38682,0.7994,0.000627331,0.000627331,0.000627331
70,380.981,0.76201,0.40453,0.78702,0.98982,0.98131,0.9907,0.81884,0.79866,0.38643,0.79939,0.000615542,0.000615542,0.000615542
71,386.324,0.71734,0.40545,0.78262,0.98583,0.98259,0.98855,0.81061,0.79801,0.39896,0.80023,0.000603752,0.000603752,0.000603752
72,391.651,0.66675,0.39709,0.77115,0.97492,0.98952,0.98823,0.79522,0.82942,0.3984,0.79953,0.000591963,0.000591963,0.000591963
73,396.989,0.69491,0.37201,0.7942,0.99248,0.96739,0.98796,0.81319,0.80306,0.3923,0.80105,0.000580174,0.000580174,0.000580174
74,402.338,0.67524,0.35473,0.78349,0.97505,0.97585,0.98804,0.82125,0.76675,0.40828,0.79866,0.000568385,0.000568385,0.000568385
75,407.675,0.73104,0.40813,0.78103,0.962,0.99078,0.9902,0.82324,0.778,0.3979,0.80021,0.000556595,0.000556595,0.000556595
76,413.009,0.6548,0.37341,0.77565,0.98844,0.9863,0.99071,0.81818,0.76989,0.37803,0.79896,0.000544806,0.000544806,0.000544806
77,418.327,0.69033,0.42121,0.77419,0.99168,0.99014,0.9908,0.81708,0.78965,0.37992,0.79858,0.000533017,0.000533017,0.000533017
78,423.659,0.66738,0.3785,0.78886,0.99428,0.98775,0.98845,0.8281,0.77232,0.39054,0.79765,0.000521228,0.000521228,0.000521228
79,428.994,0.68564,0.39738,0.77798,0.97812,0.99087,0.9883,0.82106,0.79367,0.39056,0.79903,0.000509438,0.000509438,0.000509438
80,434.411,0.66712,0.37185,0.78591,0.97642,0.99087,0.98887,0.80708,0.78863,0.37754,0.79916,0.000497649,0.000497649,0.000497649
81,439.743,0.64781,0.36383,0.77177,0.98917,0.98239,0.98958,0.81571,0.76605,0.37027,0.79886,0.00048586,0.00048586,0.00048586
82,445.161,0.6546,0.38852,0.77886,0.97983,0.98828,0.98927,0.8188,0.7823,0.38791,0.79989,0.000474071,0.000474071,0.000474071
83,450.58,0.63044,0.36239,0.77285,0.9804,0.98671,0.9893,0.81557,0.76837,0.38189,0.79809,0.000462281,0.000462281,0.000462281
84,455.995,0.64444,0.36215,0.779,0.98241,0.98723,0.98922,0.81857,0.78662,0.38277,0.79819,0.000450492,0.000450492,0.000450492
85,461.416,0.62689,0.38982,0.77409,0.98387,0.98174,0.98854,0.82682,0.76216,0.36947,0.79872,0.000438703,0.000438703,0.000438703
86,466.825,0.64749,0.34766,0.7793,0.98298,0.97985,0.99226,0.82512,0.77092,0.36962,0.79812,0.000426914,0.000426914,0.000426914
87,472.245,0.65988,0.38774,0.78411,0.97516,0.97304,0.98479,0.82029,0.8013,0.38806,0.79925,0.000415124,0.000415124,0.000415124
88,477.66,0.62127,0.36448,0.77611,0.99334,0.97746,0.99237,0.8236,0.76039,0.37329,0.79633,0.000403335,0.000403335,0.000403335
89,482.988,0.63092,0.35433,0.78889,0.99271,0.97822,0.99,0.8309,0.74884,0.36072,0.79853,0.000391546,0.000391546,0.000391546
90,488.331,0.70167,0.37769,0.77481,0.98669,0.98231,0.99031,0.82044,0.79648,0.3638,0.79876,0.000379757,0.000379757,0.000379757
91,493.661,0.64726,0.36279,0.77191,0.9858,0.98196,0.98865,0.82649,0.78007,0.36119,0.79858,0.000367967,0.000367967,0.000367967
92,499.001,0.60622,0.35175,0.76202,0.98386,0.98976,0.98656,0.8223,0.7885,0.36999,0.79917,0.000356178,0.000356178,0.000356178
