epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
35,134.629,0.00416,0.99565,1,0.31747,0.000473668,0.000473668,0.000473668
36,138.311,0.00329,0.99565,1,0.31723,0.000466599,0.000466599,0.000466599
37,141.987,0.00478,0.9913,1,0.31924,0.00045953,0.00045953,0.00045953
38,145.617,0.00284,0.99565,1,0.3172,0.000452462,0.000452462,0.000452462
39,149.466,0.00175,0.99565,1,0.31717,0.000445393,0.000445393,0.000445393
40,153.127,0.00137,0.99565,1,0.31714,0.000438325,0.000438325,0.000438325
41,156.998,0.0016,0.99565,1,0.3172,0.000431256,0.000431256,0.000431256
42,160.93,0.0007,0.99565,1,0.31717,0.000424187,0.000424187,0.000424187
43,164.949,0.00474,0.99565,1,0.31741,0.000417119,0.000417119,0.000417119
44,168.851,0.00088,0.99565,1,0.31714,0.00041005,0.00041005,0.00041005
45,172.707,0.01147,0.9913,1,0.31897,0.000402982,0.000402982,0.000402982
46,176.444,0.00608,0.99565,1,0.3172,0.000395913,0.000395913,0.000395913
47,180.224,0.00241,0.99565,1,0.31717,0.000388844,0.000388844,0.000388844
48,183.982,0.00159,0.99565,1,0.31717,0.000381776,0.000381776,0.000381776
49,187.742,0.00843,0.99565,1,0.31824,0.000374707,0.000374707,0.000374707
50,191.547,0.00352,0.99565,1,0.31714,0.000367639,0.000367639,0.000367639
51,195.265,0.00288,0.99565,1,0.31714,0.00036057,0.00036057,0.00036057
52,198.988,0.00358,0.99565,1,0.31717,0.000353501,0.000353501,0.000353501
53,202.688,0.00133,0.99565,1,0.31714,0.000346433,0.000346433,0.000346433
54,206.37,0.00036,0.99565,1,0.31717,0.000339364,0.000339364,0.000339364
55,210.033,0.00098,0.99565,1,0.31714,0.000332296,0.000332296,0.000332296
56,213.724,0.00101,0.99565,1,0.31714,0.000325227,0.000325227,0.000325227
57,217.382,0.00038,0.99565,1,0.31714,0.000318158,0.000318158,0.000318158
58,221.039,0.00056,0.99565,1,0.31714,0.00031109,0.00031109,0.00031109
59,224.773,0.001,0.99565,1,0.31714,0.000304021,0.000304021,0.000304021
60,228.513,0.00095,0.99565,1,0.31714,0.000296953,0.000296953,0.000296953
61,232.172,0.00067,0.99565,1,0.31714,0.000289884,0.000289884,0.000289884
62,235.904,0.00043,0.99565,1,0.31714,0.000282815,0.000282815,0.000282815
63,239.593,0.00034,0.99565,1,0.31714,0.000275747,0.000275747,0.000275747
64,243.281,0.00046,0.99565,1,0.31714,0.000268678,0.000268678,0.000268678
65,246.996,0.00089,0.99565,1,0.31714,0.00026161,0.00026161,0.00026161
66,250.752,0.00199,0.99565,1,0.31714,0.000254541,0.000254541,0.000254541
67,254.461,0.00071,0.99565,1,0.31714,0.000247472,0.000247472,0.000247472
68,258.165,0.00038,0.99565,1,0.31714,0.000240404,0.000240404,0.000240404
69,261.866,0.00047,0.99565,1,0.31714,0.000233335,0.000233335,0.000233335
70,265.561,0.00227,0.99565,1,0.31714,0.000226267,0.000226267,0.000226267
71,269.214,0.00206,0.99565,1,0.31714,0.000219198,0.000219198,0.000219198
72,272.922,0.00051,0.99565,1,0.31714,0.000212129,0.000212129,0.000212129
73,276.634,0.00213,0.9913,1,0.31876,0.000205061,0.000205061,0.000205061
74,280.288,0.00045,0.99565,1,0.31714,0.000197992,0.000197992,0.000197992
75,284.054,0.0002,0.99565,1,0.31714,0.000190924,0.000190924,0.000190924
76,287.719,0.0006,0.99565,1,0.31714,0.000183855,0.000183855,0.000183855
77,291.413,0.0003,0.99565,1,0.31714,0.000176786,0.000176786,0.000176786
78,295.097,0.00059,0.99565,1,0.31714,0.000169718,0.000169718,0.000169718
79,298.772,0.00013,0.99565,1,0.31714,0.000162649,0.000162649,0.000162649
80,302.458,0.00087,0.99565,1,0.31714,0.000155581,0.000155581,0.000155581
81,306.159,0.00071,0.99565,1,0.31714,0.000148512,0.000148512,0.000148512
82,309.821,0.00077,0.99565,1,0.31714,0.000141443,0.000141443,0.000141443
83,313.542,0.00336,0.99565,1,0.31714,0.000134375,0.000134375,0.000134375
84,317.219,0.0003,0.99565,1,0.31714,0.000127306,0.000127306,0.000127306
85,320.891,0.00335,0.99565,1,0.31714,0.000120238,0.000120238,0.000120238
86,324.564,0.00243,0.99565,1,0.31714,0.000113169,0.000113169,0.000113169
87,328.203,0.00014,0.99565,1,0.31714,0.0001061,0.0001061,0.0001061
88,331.944,0.0014,0.99565,1,0.31714,9.90318e-05,9.90318e-05,9.90318e-05
89,335.637,0.00197,0.99565,1,0.31714,9.19632e-05,9.19632e-05,9.19632e-05
90,339.324,0.00217,0.99565,1,0.31714,8.48946e-05,8.48946e-05,8.48946e-05
91,343.391,0.00015,0.99565,1,0.31714,7.7826e-05,7.7826e-05,7.7826e-05
92,347.084,0.00153,0.99565,1,0.31714,7.07574e-05,7.07574e-05,7.07574e-05
93,350.781,0.00023,0.99565,1,0.33408,6.36888e-05,6.36888e-05,6.36888e-05
94,354.499,0.00085,0.99565,1,0.31714,5.66202e-05,5.66202e-05,5.66202e-05
95,358.181,0.00027,0.99565,1,0.31714,4.95516e-05,4.95516e-05,4.95516e-05
96,361.876,0.00059,0.99565,1,0.33408,4.2483e-05,4.2483e-05,4.2483e-05
97,365.611,0.00106,0.99565,1,0.31714,3.54144e-05,3.54144e-05,3.54144e-05
98,369.335,0.00025,0.99565,1,0.31714,2.83458e-05,2.83458e-05,2.83458e-05
99,373.098,0.00017,0.99565,1,0.31714,2.12772e-05,2.12772e-05,2.12772e-05
100,376.815,0.0002,0.99565,1,0.31714,1.42086e-05,1.42086e-05,1.42086e-05
