epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.61086,0.33662,0.98696,1,0.34595,0.00023593,0.00023593,0.00023593
2,8.69554,0.04575,0.98696,1,0.32315,0.000469239,0.000469239,0.000469239
3,12.4928,0.02047,0.9913,1,0.32001,0.000697834,0.000697834,0.000697834
4,16.3086,0.01921,0.99565,1,0.3172,0.000692794,0.000692794,0.000692794
5,20.1123,0.03494,0.9913,1,0.32196,0.000685726,0.000685726,0.000685726
6,23.8938,0.01748,0.9913,1,0.32129,0.000678657,0.000678657,0.000678657
7,27.6485,0.0097,0.9913,1,0.32104,0.000671588,0.000671588,0.000671588
8,31.4741,0.00547,0.9913,1,0.32101,0.00066452,0.00066452,0.00066452
9,35.3448,0.0114,0.9913,1,0.31955,0.000657451,0.000657451,0.000657451
10,39.1505,0.0124,0.99565,1,0.3186,0.000650383,0.000650383,0.000650383
11,42.9373,0.0029,0.9913,1,0.3197,0.000643314,0.000643314,0.000643314
12,46.7219,0.01261,0.9913,1,0.32095,0.000636245,0.000636245,0.000636245
13,50.5414,0.01476,0.9913,1,0.31894,0.000629177,0.000629177,0.000629177
14,54.3363,0.01618,0.9913,1,0.31982,0.000622108,0.000622108,0.000622108
15,58.2124,0.00264,0.9913,1,0.31998,0.00061504,0.00061504,0.00061504
16,62.1204,0.00234,0.9913,1,0.319,0.000607971,0.000607971,0.000607971
17,65.9741,0.00319,0.9913,1,0.31958,0.000600902,0.000600902,0.000600902
18,69.846,0.00332,0.9913,1,0.31952,0.000593834,0.000593834,0.000593834
19,73.7976,0.00184,0.9913,1,0.31927,0.000586765,0.000586765,0.000586765
20,77.8652,0.0034,0.99565,1,0.31717,0.000579697,0.000579697,0.000579697
21,81.6307,0.00442,0.99565,1,0.31754,0.000572628,0.000572628,0.000572628
22,85.3366,0.00154,0.99565,1,0.3183,0.000565559,0.000565559,0.000565559
23,89.028,0.00406,0.9913,1,0.32098,0.000558491,0.000558491,0.000558491
24,92.8212,0.00259,0.9913,1,0.32059,0.000551422,0.000551422,0.000551422
25,96.6293,0.00665,0.9913,1,0.31888,0.000544354,0.000544354,0.000544354
26,100.335,0.00215,0.99565,1,0.3172,0.000537285,0.000537285,0.000537285
27,104.021,0.00967,0.9913,1,0.32077,0.000530216,0.000530216,0.000530216
28,107.817,0.00302,0.9913,1,0.32047,0.000523148,0.000523148,0.000523148
29,111.755,0.00113,0.9913,1,0.32092,0.000516079,0.000516079,0.000516079
30,115.57,0.00343,0.99565,1,0.3172,0.000509011,0.000509011,0.000509011
31,119.463,0.00127,0.99565,1,0.31747,0.000501942,0.000501942,0.000501942
32,123.418,0.00207,0.99565,1,0.31805,0.000494873,0.000494873,0.000494873
33,127.072,0.00086,0.99565,1,0.31723,0.000487805,0.000487805,0.000487805
34,130.993,0.00202,0.99565,1,0.3179,0.000480736,0.000480736,0.000480736
