epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.38454,1.57494,3.97835,0.8469,0.00057,0.05774,0.0003,0.0002,1.02999,3.73996,0.78995,0.00044299,0.00044299,0.00044299
2,18.5216,1.11132,2.35794,0.80844,0.00993,0.97113,0.62812,0.46711,1.00847,2.98283,0.79309,0.000894328,0.000894328,0.000894328
3,27.6028,1.12495,1.89979,0.79851,0.99415,0.35899,0.90471,0.6661,0.99442,2.0654,0.79929,0.00133963,0.00133963,0.00133963
4,36.6336,1.00908,1.5659,0.79689,0.87166,0.90097,0.97433,0.70506,1.00639,1.22656,0.79761,0.00140071,0.00140071,0.00140071
5,45.6491,1.03769,1.32324,0.79283,0.94719,0.94531,0.97595,0.74368,0.88995,0.68664,0.79237,0.00139127,0.00139127,0.00139127
6,54.6908,0.93642,1.11119,0.79474,0.96534,0.96286,0.99079,0.75641,0.87457,0.60494,0.79404,0.00138184,0.00138184,0.00138184
7,64.2164,0.90147,1.0515,0.7881,0.98085,0.97552,0.98843,0.79096,0.78239,0.48509,0.79125,0.00137241,0.00137241,0.00137241
8,73.7308,0.88307,0.92244,0.79424,0.96815,0.97414,0.99443,0.78061,0.80166,0.4808,0.78784,0.00136298,0.00136298,0.00136298
9,83.0977,0.90032,0.85083,0.79587,0.9668,0.97978,0.99163,0.80993,0.73276,0.42323,0.78572,0.00135355,0.00135355,0.00135355
10,92.3955,0.88597,0.78553,0.78827,0.96449,0.97737,0.9912,0.79983,0.78459,0.46814,0.79135,0.00134412,0.00134412,0.00134412
11,101.305,0.85574,0.7129,0.79261,0.9694,0.96061,0.9898,0.78925,0.76903,0.4619,0.78807,0.00133469,0.00133469,0.00133469
12,110.216,0.84061,0.6623,0.7887,0.96714,0.97123,0.98528,0.80287,0.73329,0.43797,0.7844,0.00132525,0.00132525,0.00132525
13,119.143,0.83227,0.62136,0.78645,0.99427,0.98365,0.99419,0.81797,0.72387,0.39282,0.78614,0.00131582,0.00131582,0.00131582
14,128.093,0.78159,0.5913,0.78565,0.98843,0.98223,0.99401,0.83372,0.68757,0.38072,0.78646,0.00130639,0.00130639,0.00130639
15,137.059,0.80787,0.57454,0.78605,0.99622,0.98409,0.99477,0.80895,0.78226,0.40596,0.78955,0.00129696,0.00129696,0.00129696
16,145.979,0.81158,0.55105,0.78825,0.99253,0.97692,0.99204,0.82368,0.72203,0.39395,0.78684,0.00128753,0.00128753,0.00128753
17,154.927,0.82774,0.54665,0.79175,0.98827,0.97704,0.99318,0.81458,0.76872,0.43366,0.79374,0.0012781,0.0012781,0.0012781
18,163.898,0.84376,0.55619,0.78965,0.99079,0.98605,0.99445,0.80129,0.77267,0.41635,0.79434,0.00126867,0.00126867,0.00126867
19,172.936,0.7735,0.5267,0.79003,0.99476,0.98997,0.9932,0.83772,0.67009,0.38297,0.78828,0.00125923,0.00125923,0.00125923
