epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.71565,0.36817,1,1,0.34167,0.000233897,0.000233897,0.000233897
2,4.84907,0.06622,1,1,0.3161,0.000467225,0.000467225,0.000467225
3,6.73451,0.01916,0.99145,1,0.31702,0.000695841,0.000695841,0.000695841
4,8.58963,0.01493,1,1,0.31458,0.000692794,0.000692794,0.000692794
5,10.4738,0.00817,1,1,0.31335,0.000685726,0.000685726,0.000685726
6,12.3447,0.00811,1,1,0.31335,0.000678657,0.000678657,0.000678657
7,14.2141,0.00638,1,1,0.31323,0.000671588,0.000671588,0.000671588
8,16.0841,0.00441,1,1,0.31323,0.00066452,0.00066452,0.00066452
9,17.9505,0.00737,1,1,0.31335,0.000657451,0.000657451,0.000657451
10,19.8581,0.00977,1,1,0.31329,0.000650383,0.000650383,0.000650383
11,21.7472,0.01398,1,1,0.31335,0.000643314,0.000643314,0.000643314
12,23.7029,0.00941,0.99145,1,0.31671,0.000636245,0.000636245,0.000636245
13,25.5994,0.00899,1,1,0.31366,0.000629177,0.000629177,0.000629177
14,27.5148,0.00487,1,1,0.31323,0.000622108,0.000622108,0.000622108
15,29.4189,0.00205,1,1,0.31323,0.00061504,0.00061504,0.00061504
16,31.3276,0.00141,1,1,0.31323,0.000607971,0.000607971,0.000607971
17,33.2299,0.00635,1,1,0.31323,0.000600902,0.000600902,0.000600902
18,35.1195,0.00432,1,1,0.31323,0.000593834,0.000593834,0.000593834
19,36.9995,0.00526,1,1,0.31366,0.000586765,0.000586765,0.000586765
20,38.8904,0.00198,1,1,0.31329,0.000579697,0.000579697,0.000579697
21,40.8008,0.00486,1,1,0.31335,0.000572628,0.000572628,0.000572628
22,42.676,0.00392,1,1,0.31323,0.000565559,0.000565559,0.000565559
23,44.5912,0.00526,1,1,0.31323,0.000558491,0.000558491,0.000558491
24,46.5014,0.00375,1,1,0.31323,0.000551422,0.000551422,0.000551422
25,48.404,0.00655,1,1,0.31342,0.000544354,0.000544354,0.000544354
26,50.3009,0.00225,1,1,0.31335,0.000537285,0.000537285,0.000537285
27,52.1916,0.00404,1,1,0.31329,0.000530216,0.000530216,0.000530216
28,54.0875,0.00196,1,1,0.31323,0.000523148,0.000523148,0.000523148
29,55.9963,0.00181,1,1,0.31342,0.000516079,0.000516079,0.000516079
30,57.8971,0.00121,1,1,0.31403,0.000509011,0.000509011,0.000509011
31,59.7836,0.00549,1,1,0.31329,0.000501942,0.000501942,0.000501942
32,61.7143,0.00443,1,1,0.31323,0.000494873,0.000494873,0.000494873
33,63.6935,0.0073,1,1,0.31323,0.000487805,0.000487805,0.000487805
34,65.5981,0.00529,1,1,0.31342,0.000480736,0.000480736,0.000480736
35,67.4978,0.00094,1,1,0.31335,0.000473668,0.000473668,0.000473668
36,69.3918,0.00414,1,1,0.31372,0.000466599,0.000466599,0.000466599
37,71.2681,0.01849,1,1,0.31348,0.00045953,0.00045953,0.00045953
38,73.1648,0.00426,1,1,0.31366,0.000452462,0.000452462,0.000452462
39,75.0305,0.00162,1,1,0.31348,0.000445393,0.000445393,0.000445393
40,76.9338,0.00129,1,1,0.31335,0.000438325,0.000438325,0.000438325
41,78.8182,0.00262,1,1,0.31323,0.000431256,0.000431256,0.000431256
42,80.7065,0.00056,1,1,0.31323,0.000424187,0.000424187,0.000424187
43,82.619,0.00143,1,1,0.31323,0.000417119,0.000417119,0.000417119
44,84.5084,0.00203,1,1,0.31348,0.00041005,0.00041005,0.00041005
45,86.3838,0.00049,1,1,0.31329,0.000402982,0.000402982,0.000402982
46,88.3034,0.00017,1,1,0.31323,0.000395913,0.000395913,0.000395913
47,90.1781,0.00049,1,1,0.31329,0.000388844,0.000388844,0.000388844
48,92.092,0.00236,1,1,0.31323,0.000381776,0.000381776,0.000381776
