epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7152,1.47565,3.69945,0.82854,0.00048,0.05202,0.00194,0.00154,1.11163,3.45657,0.79075,0.000465508,0.000465508,0.000465508
2,25.0432,1.10248,2.09204,0.79519,0.01022,0.98843,0.80464,0.59109,0.94172,2.46658,0.79093,0.000935625,0.000935625,0.000935625
3,37.2906,1.11962,1.6547,0.8048,0.80379,0.82404,0.92409,0.6858,0.99387,1.36889,0.79947,0.00139945,0.00139945,0.00139945
4,49.5212,1.0306,1.35407,0.79919,0.97097,0.9654,0.98524,0.6999,1.10208,0.90376,0.80135,0.00140071,0.00140071,0.00140071
5,61.7738,1.00594,1.13887,0.79782,0.94642,0.95778,0.98878,0.76174,0.84904,0.54098,0.78666,0.00139127,0.00139127,0.00139127
6,74.0264,0.97316,1.07563,0.79402,0.94164,0.96391,0.98653,0.78154,0.81409,0.52071,0.78439,0.00138184,0.00138184,0.00138184
7,86.4649,0.94352,0.89176,0.79344,0.97558,0.97062,0.98965,0.79426,0.79784,0.49018,0.78519,0.00137241,0.00137241,0.00137241
8,98.7388,0.87522,0.74406,0.79355,0.95898,0.98162,0.9901,0.7941,0.76659,0.42184,0.7849,0.00136298,0.00136298,0.00136298
9,111.135,0.859,0.68043,0.79231,0.99319,0.98527,0.99414,0.76788,0.85861,0.43735,0.78706,0.00135355,0.00135355,0.00135355
10,123.452,0.90034,0.64082,0.79129,0.97709,0.98828,0.99305,0.80009,0.7697,0.43253,0.78739,0.00134412,0.00134412,0.00134412
11,135.784,0.82055,0.60028,0.78749,0.98389,0.98648,0.99349,0.82278,0.70793,0.40826,0.78419,0.00133469,0.00133469,0.00133469
12,148.038,0.8182,0.56886,0.78796,0.98578,0.9789,0.99125,0.81161,0.76945,0.40592,0.78299,0.00132525,0.00132525,0.00132525
13,160.235,0.84538,0.56903,0.78645,0.98115,0.98307,0.99258,0.81036,0.7599,0.43952,0.78842,0.00131582,0.00131582,0.00131582
14,172.415,0.90176,0.57849,0.78674,0.9941,0.99203,0.99488,0.79883,0.838,0.43476,0.7893,0.00130639,0.00130639,0.00130639
15,184.63,0.85435,0.53217,0.79244,0.97008,0.97873,0.98906,0.82077,0.72607,0.42641,0.78218,0.00129696,0.00129696,0.00129696
16,196.707,0.82427,0.50385,0.7828,0.97376,0.96643,0.9936,0.83111,0.69585,0.45433,0.78555,0.00128753,0.00128753,0.00128753
17,208.82,0.78721,0.51188,0.78622,0.98657,0.97988,0.99354,0.8194,0.75598,0.40722,0.78206,0.0012781,0.0012781,0.0012781
18,220.987,0.84068,0.51288,0.78797,0.98704,0.98598,0.99417,0.80124,0.76855,0.42008,0.78586,0.00126867,0.00126867,0.00126867
19,233.093,0.81684,0.49211,0.78754,0.99361,0.99421,0.99462,0.80691,0.78344,0.40494,0.78924,0.00125923,0.00125923,0.00125923
20,245.194,0.801,0.4614,0.78651,0.98074,0.986,0.99174,0.83426,0.71004,0.38843,0.78635,0.0012498,0.0012498,0.0012498
21,257.345,0.76514,0.45423,0.77997,0.99019,0.99059,0.9949,0.83267,0.7189,0.38894,0.78533,0.00124037,0.00124037,0.00124037
22,269.454,0.8109,0.44974,0.78808,0.9857,0.98327,0.99458,0.81249,0.77342,0.38579,0.78503,0.00123094,0.00123094,0.00123094
23,281.54,0.79675,0.44702,0.78473,0.99471,0.99297,0.99346,0.84639,0.66185,0.3719,0.78632,0.00122151,0.00122151,0.00122151
24,293.682,0.83047,0.45505,0.78992,0.97947,0.98115,0.99475,0.83217,0.71611,0.42313,0.78684,0.00121208,0.00121208,0.00121208
25,305.772,0.78709,0.4317,0.78501,0.99244,0.99523,0.99492,0.85574,0.64349,0.3549,0.78189,0.00120265,0.00120265,0.00120265
26,317.918,0.72426,0.40947,0.79053,0.99398,0.99258,0.99355,0.84944,0.67111,0.37888,0.78214,0.00119322,0.00119322,0.00119322
27,330.009,0.74156,0.4264,0.78721,0.98949,0.99173,0.99475,0.84159,0.66691,0.35049,0.78397,0.00118378,0.00118378,0.00118378
28,342.11,0.74298,0.41802,0.77986,0.98252,0.98871,0.99418,0.83845,0.70849,0.37921,0.78281,0.00117435,0.00117435,0.00117435
29,354.721,0.73812,0.42042,0.783,0.98716,0.98335,0.98893,0.8459,0.65833,0.38833,0.78239,0.00116492,0.00116492,0.00116492
30,367.122,0.72455,0.41853,0.78397,0.99062,0.99033,0.99441,0.82968,0.73737,0.3845,0.78309,0.00115549,0.00115549,0.00115549
31,380.384,0.77886,0.41254,0.78539,0.99062,0.99471,0.99483,0.82837,0.71628,0.37667,0.7875,0.00114606,0.00114606,0.00114606
32,393.95,0.74124,0.40788,0.78172,0.99148,0.99013,0.99471,0.85174,0.64899,0.35803,0.78356,0.00113663,0.00113663,0.00113663
33,406.141,0.76463,0.42615,0.78805,0.99618,0.98699,0.99494,0.86088,0.63668,0.36158,0.78277,0.0011272,0.0011272,0.0011272
34,418.406,0.69935,0.38941,0.7798,0.99565,0.99152,0.99494,0.84803,0.67283,0.35701,0.78479,0.00111776,0.00111776,0.00111776
35,430.654,0.72064,0.38472,0.78079,0.99696,0.99702,0.99498,0.85105,0.66191,0.35378,0.78268,0.00110833,0.00110833,0.00110833
