epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.84798,1.82402,4.57639,0.8505,0.00219,0.21404,0.00134,0.00065,1.19086,3.9412,0.79875,0.00032867,0.00032867,0.00032867
2,13.6538,1.23374,2.71733,0.81668,0.00851,0.81754,0.03856,0.02461,1.23889,3.35262,0.80462,0.000666089,0.000666089,0.000666089
3,20.4565,1.18606,2.24359,0.80703,0.32677,0.26667,0.46066,0.3152,1.06877,2.86871,0.79714,0.000997849,0.000997849,0.000997849
4,27.2571,1.1149,1.93303,0.80404,0.90215,0.49234,0.85546,0.64479,0.9654,1.91233,0.79405,0.00132395,0.00132395,0.00132395
5,34.2268,1.05347,1.59974,0.80897,0.95858,0.85612,0.95732,0.73574,0.89221,1.51228,0.79201,0.00138184,0.00138184,0.00138184
6,41.0007,1.06453,1.43038,0.8006,0.92794,0.93132,0.96471,0.73117,0.8864,0.9523,0.79234,0.00137005,0.00137005,0.00137005
7,47.7341,0.98958,1.26457,0.79935,0.54394,0.90877,0.60248,0.43389,0.98844,1.56964,0.79883,0.00135826,0.00135826,0.00135826
8,54.4711,1.07088,1.21389,0.80236,0.95429,0.96739,0.9745,0.72364,0.97268,0.6162,0.79431,0.00134648,0.00134648,0.00134648
9,61.2258,1.00594,1.13332,0.79518,0.96375,0.95425,0.96934,0.73962,0.89502,0.52844,0.7924,0.00133469,0.00133469,0.00133469
10,68.0237,0.91766,1.0556,0.79201,0.97102,0.97733,0.98125,0.74037,0.8902,0.6122,0.78798,0.0013229,0.0013229,0.0013229
11,74.8429,0.93555,0.97516,0.79863,0.97926,0.96699,0.98274,0.77718,0.82816,0.50463,0.78566,0.00131111,0.00131111,0.00131111
12,81.6552,0.92599,0.90176,0.79292,0.97906,0.96935,0.98285,0.77228,0.81836,0.48222,0.78749,0.00129932,0.00129932,0.00129932
13,88.4093,0.87353,0.78833,0.79165,0.97045,0.97073,0.98341,0.77453,0.83666,0.53359,0.79112,0.00128753,0.00128753,0.00128753
14,95.1717,0.84727,0.7539,0.79337,0.98629,0.9784,0.98983,0.78658,0.78571,0.46532,0.78656,0.00127574,0.00127574,0.00127574
15,101.975,0.8363,0.70172,0.78767,0.99595,0.97736,0.99119,0.78906,0.77591,0.43629,0.78844,0.00126395,0.00126395,0.00126395
16,108.767,0.82425,0.66694,0.78609,0.98776,0.97855,0.99045,0.80118,0.79324,0.43408,0.78657,0.00125216,0.00125216,0.00125216
17,115.556,0.88206,0.67317,0.78558,0.99356,0.98481,0.9906,0.74877,0.95362,0.48908,0.79496,0.00124037,0.00124037,0.00124037
18,122.32,0.9046,0.6487,0.78625,0.98705,0.96529,0.988,0.75711,0.92438,0.50307,0.79433,0.00122858,0.00122858,0.00122858
19,129.089,0.90473,0.66382,0.78611,0.98677,0.97866,0.98769,0.81338,0.74831,0.45387,0.78832,0.00121679,0.00121679,0.00121679
20,135.882,0.83262,0.60551,0.793,0.98587,0.98692,0.99026,0.78294,0.85508,0.43822,0.79266,0.001205,0.001205,0.001205
21,142.636,0.83753,0.57576,0.7887,0.99994,0.9852,0.99156,0.81128,0.79162,0.41501,0.79151,0.00119322,0.00119322,0.00119322
22,149.397,0.85904,0.57805,0.78944,0.97212,0.97544,0.98841,0.81396,0.76004,0.44577,0.79022,0.00118143,0.00118143,0.00118143
23,156.182,0.81991,0.58039,0.7908,0.98546,0.98041,0.98839,0.79029,0.83072,0.44188,0.78944,0.00116964,0.00116964,0.00116964
24,162.938,0.79308,0.55516,0.78527,0.97903,0.9787,0.98977,0.8014,0.7724,0.42134,0.78982,0.00115785,0.00115785,0.00115785
25,169.691,0.82107,0.56232,0.78928,0.99132,0.97983,0.99025,0.80402,0.7912,0.43343,0.78639,0.00114606,0.00114606,0.00114606
26,176.444,0.80144,0.54402,0.78859,0.98295,0.97193,0.98961,0.79448,0.79966,0.4467,0.78867,0.00113427,0.00113427,0.00113427
27,183.21,0.8015,0.52463,0.78904,0.97543,0.98756,0.99105,0.80753,0.79573,0.43122,0.78468,0.00112248,0.00112248,0.00112248
28,189.955,0.82256,0.5084,0.78158,0.98539,0.98246,0.99022,0.81933,0.72412,0.41435,0.78242,0.00111069,0.00111069,0.00111069
29,196.778,0.80151,0.50331,0.77814,0.98275,0.98903,0.99207,0.81339,0.76108,0.41241,0.78675,0.0010989,0.0010989,0.0010989
30,203.557,0.79426,0.49097,0.78589,0.99248,0.97544,0.99131,0.79309,0.80991,0.4169,0.78952,0.00108711,0.00108711,0.00108711
31,210.335,0.77166,0.48091,0.78764,0.987,0.98957,0.99204,0.81733,0.7501,0.3885,0.78785,0.00107532,0.00107532,0.00107532
32,217.106,0.79565,0.47298,0.78861,0.98001,0.98434,0.99216,0.81729,0.73269,0.39536,0.7877,0.00106353,0.00106353,0.00106353
33,223.879,0.78776,0.45807,0.78752,0.99017,0.98246,0.99182,0.80951,0.79663,0.41809,0.78661,0.00105174,0.00105174,0.00105174
34,230.643,0.77908,0.46227,0.78627,0.992,0.98278,0.99064,0.81447,0.76017,0.40583,0.78708,0.00103995,0.00103995,0.00103995
35,237.439,0.7655,0.45449,0.78702,0.99417,0.9866,0.99201,0.82314,0.74976,0.39173,0.78697,0.00102817,0.00102817,0.00102817
36,244.258,0.76926,0.45656,0.78201,0.97522,0.97397,0.98433,0.79865,0.76205,0.42585,0.78867,0.00101638,0.00101638,0.00101638
37,251.024,0.71551,0.46651,0.78685,0.97223,0.98268,0.9904,0.82659,0.70817,0.40259,0.78535,0.00100459,0.00100459,0.00100459
38,257.824,0.69787,0.4615,0.77903,0.98268,0.99073,0.99186,0.81696,0.72839,0.39276,0.78344,0.000992798,0.000992798,0.000992798
39,264.606,0.75964,0.45548,0.78243,0.98611,0.97556,0.99129,0.81221,0.74065,0.39452,0.78503,0.000981008,0.000981008,0.000981008
40,271.391,0.74669,0.45547,0.78662,0.98282,0.98655,0.99142,0.82568,0.72327,0.38813,0.79063,0.000969219,0.000969219,0.000969219
41,278.179,0.73114,0.45805,0.78139,0.99766,0.97317,0.99213,0.81462,0.74421,0.39172,0.78842,0.00095743,0.00095743,0.00095743
42,284.937,0.73035,0.43667,0.78038,0.984,0.99298,0.99216,0.82612,0.69309,0.37007,0.78545,0.000945641,0.000945641,0.000945641
43,291.714,0.72121,0.42647,0.78875,0.99648,0.98329,0.99215,0.82507,0.72838,0.37129,0.78648,0.000933851,0.000933851,0.000933851
44,298.49,0.72,0.433,0.77885,0.99658,0.98499,0.9923,0.83548,0.6928,0.37665,0.78612,0.000922062,0.000922062,0.000922062
45,305.331,0.71089,0.40308,0.78222,0.99523,0.99452,0.99244,0.82305,0.71704,0.36359,0.78751,0.000910273,0.000910273,0.000910273
46,312.104,0.73395,0.40668,0.78369,0.99753,0.98095,0.99239,0.81571,0.76337,0.40823,0.79151,0.000898484,0.000898484,0.000898484
47,318.871,0.71363,0.40985,0.77951,0.99663,0.98638,0.99272,0.83873,0.67924,0.35255,0.7852,0.000886694,0.000886694,0.000886694
48,325.686,0.72199,0.40617,0.78307,0.99556,0.99298,0.99186,0.83792,0.69965,0.36693,0.7868,0.000874905,0.000874905,0.000874905
